C:\Users\oper\labQT\Lab2025\QTLab2526\SinglePhoton\VNA\CRIO_measures_new\PC2_1_1_P4_2PORT.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-PC2_1_1_P4_2PORT
15.7,-0.787316
15.7005,-0.787231
15.701,-0.787146
15.7015,-0.78706
15.702,-0.786975
15.7025,-0.78689
15.703,-0.786805
15.7035,-0.786721
15.704,-0.786636
15.7045,-0.786551
15.705,-0.786467
15.7055,-0.786382
15.706,-0.786298
15.7065,-0.786214
15.707,-0.786129
15.7075,-0.786045
15.708,-0.785961
15.7085,-0.785877
15.709,-0.785794
15.7095,-0.78571
15.71,-0.785626
15.7105,-0.785543
15.711,-0.785459
15.7115,-0.785376
15.712,-0.785293
15.7125,-0.78521
15.713,-0.785127
15.7135,-0.785044
15.714,-0.784961
15.7145,-0.784878
15.715,-0.784795
15.7155,-0.784713
15.716,-0.78463
15.7165,-0.784548
15.717,-0.784466
15.7175,-0.784383
15.718,-0.784301
15.7185,-0.784219
15.719,-0.784138
15.7195,-0.784056
15.72,-0.783974
15.7205,-0.783893
15.721,-0.783811
15.7215,-0.78373
15.722,-0.783649
15.7225,-0.783568
15.723,-0.783487
15.7235,-0.783406
15.724,-0.783325
15.7245,-0.783244
15.725,-0.783164
15.7255,-0.783083
15.726,-0.783003
15.7265,-0.782923
15.727,-0.782843
15.7275,-0.782763
15.728,-0.782683
15.7285,-0.782603
15.729,-0.782523
15.7295,-0.782444
15.73,-0.782364
15.7305,-0.782285
15.731,-0.782206
15.7315,-0.782127
15.732,-0.782048
15.7325,-0.781969
15.733,-0.78189
15.7335,-0.781812
15.734,-0.781733
15.7345,-0.781655
15.735,-0.781577
15.7355,-0.781499
15.736,-0.781421
15.7365,-0.781343
15.737,-0.781265
15.7375,-0.781187
15.738,-0.78111
15.7385,-0.781033
15.739,-0.780955
15.7395,-0.780878
15.74,-0.780801
15.7405,-0.780725
15.741,-0.780648
15.7415,-0.780571
15.742,-0.780495
15.7425,-0.780419
15.743,-0.780343
15.7435,-0.780267
15.744,-0.780191
15.7445,-0.780115
15.745,-0.780039
15.7455,-0.779964
15.746,-0.779889
15.7465,-0.779814
15.747,-0.779739
15.7475,-0.779664
15.748,-0.779589
15.7485,-0.779514
15.749,-0.77944
15.7495,-0.779366
15.75,-0.779291
15.7505,-0.779217
15.751,-0.779144
15.7515,-0.77907
15.752,-0.778996
15.7525,-0.778923
15.753,-0.77885
15.7535,-0.778777
15.754,-0.778704
15.7545,-0.778631
15.755,-0.778558
15.7555,-0.778486
15.756,-0.778414
15.7565,-0.778341
15.757,-0.778269
15.7575,-0.778198
15.758,-0.778126
15.7585,-0.778054
15.759,-0.777983
15.7595,-0.777912
15.76,-0.777841
15.7605,-0.77777
15.761,-0.777699
15.7615,-0.777629
15.762,-0.777559
15.7625,-0.777489
15.763,-0.777419
15.7635,-0.777349
15.764,-0.777279
15.7645,-0.77721
15.765,-0.77714
15.7655,-0.777071
15.766,-0.777002
15.7665,-0.776934
15.767,-0.776865
15.7675,-0.776797
15.768,-0.776729
15.7685,-0.776661
15.769,-0.776593
15.7695,-0.776525
15.77,-0.776458
15.7705,-0.776391
15.771,-0.776324
15.7715,-0.776257
15.772,-0.77619
15.7725,-0.776124
15.773,-0.776057
15.7735,-0.775991
15.774,-0.775925
15.7745,-0.77586
15.775,-0.775794
15.7755,-0.775729
15.776,-0.775664
15.7765,-0.775599
15.777,-0.775535
15.7775,-0.77547
15.778,-0.775406
15.7785,-0.775342
15.779,-0.775278
15.7795,-0.775215
15.78,-0.775151
15.7805,-0.775088
15.781,-0.775025
15.7815,-0.774962
15.782,-0.7749
15.7825,-0.774838
15.783,-0.774776
15.7835,-0.774714
15.784,-0.774652
15.7845,-0.774591
15.785,-0.77453
15.7855,-0.774469
15.786,-0.774408
15.7865,-0.774348
15.787,-0.774288
15.7875,-0.774228
15.788,-0.774168
15.7885,-0.774109
15.789,-0.774049
15.7895,-0.773991
15.79,-0.773932
15.7905,-0.773873
15.791,-0.773815
15.7915,-0.773757
15.792,-0.773699
15.7925,-0.773642
15.793,-0.773585
15.7935,-0.773528
15.794,-0.773471
15.7945,-0.773415
15.795,-0.773359
15.7955,-0.773303
15.796,-0.773247
15.7965,-0.773192
15.797,-0.773137
15.7975,-0.773082
15.798,-0.773028
15.7985,-0.772974
15.799,-0.77292
15.7995,-0.772866
15.8,-0.772813
15.8005,-0.77276
15.801,-0.772707
15.8015,-0.772654
15.802,-0.772602
15.8025,-0.77255
15.803,-0.772499
15.8035,-0.772447
15.804,-0.772396
15.8045,-0.772346
15.805,-0.772295
15.8055,-0.772245
15.806,-0.772195
15.8065,-0.772146
15.807,-0.772097
15.8075,-0.772048
15.808,-0.772
15.8085,-0.771951
15.809,-0.771904
15.8095,-0.771856
15.81,-0.771809
15.8105,-0.771762
15.811,-0.771716
15.8115,-0.77167
15.812,-0.771624
15.8125,-0.771578
15.813,-0.771533
15.8135,-0.771488
15.814,-0.771444
15.8145,-0.7714
15.815,-0.771356
15.8155,-0.771313
15.816,-0.77127
15.8165,-0.771227
15.817,-0.771185
15.8175,-0.771143
15.818,-0.771102
15.8185,-0.771061
15.819,-0.77102
15.8195,-0.77098
15.82,-0.77094
15.8205,-0.7709
15.821,-0.770861
15.8215,-0.770822
15.822,-0.770784
15.8225,-0.770746
15.823,-0.770708
15.8235,-0.770671
15.824,-0.770634
15.8245,-0.770598
15.825,-0.770546
15.8255,-0.77051
15.826,-0.770475
15.8265,-0.77044
15.827,-0.770405
15.8275,-0.770371
15.828,-0.770338
15.8285,-0.770305
15.829,-0.770272
15.8295,-0.77024
15.83,-0.770208
15.8305,-0.770176
15.831,-0.770146
15.8315,-0.770115
15.832,-0.770085
15.8325,-0.770056
15.833,-0.770027
15.8335,-0.769998
15.834,-0.76997
15.8345,-0.769943
15.835,-0.769916
15.8355,-0.769889
15.836,-0.769863
15.8365,-0.769838
15.837,-0.769813
15.8375,-0.769788
15.838,-0.769764
15.8385,-0.769741
15.839,-0.769718
15.8395,-0.769695
15.84,-0.769674
15.8405,-0.769652
15.841,-0.769632
15.8415,-0.769611
15.842,-0.769592
15.8425,-0.769573
15.843,-0.769554
15.8435,-0.769536
15.844,-0.769519
15.8445,-0.769502
15.845,-0.769486
15.8455,-0.769471
15.846,-0.769456
15.8465,-0.769441
15.847,-0.769428
15.8475,-0.769415
15.848,-0.769402
15.8485,-0.76939
15.849,-0.769379
15.8495,-0.769369
15.85,-0.769359
15.8505,-0.769349
15.851,-0.769341
15.8515,-0.769333
15.852,-0.769326
15.8525,-0.769319
15.853,-0.769313
15.8535,-0.769308
15.854,-0.769303
15.8545,-0.7693
15.855,-0.769296
15.8555,-0.769294
15.856,-0.769292
15.8565,-0.769291
15.857,-0.769291
15.8575,-0.769292
15.858,-0.769293
15.8585,-0.769295
15.859,-0.769298
15.8595,-0.769302
15.86,-0.769306
15.8605,-0.769311
15.861,-0.769317
15.8615,-0.769324
15.862,-0.769331
15.8625,-0.76934
15.863,-0.769349
15.8635,-0.769359
15.864,-0.76937
15.8645,-0.769382
15.865,-0.769394
15.8655,-0.769408
15.866,-0.769422
15.8665,-0.769438
15.867,-0.769454
15.8675,-0.769471
15.868,-0.769489
15.8685,-0.769508
15.869,-0.769527
15.8695,-0.769548
15.87,-0.76957
15.8705,-0.769593
15.871,-0.769616
15.8715,-0.769641
15.872,-0.769667
15.8725,-0.769693
15.873,-0.769721
15.8735,-0.76975
15.874,-0.769779
15.8745,-0.76981
15.875,-0.769842
15.8755,-0.769875
15.876,-0.769909
15.8765,-0.769944
15.877,-0.76998
15.8775,-0.770017
15.878,-0.770056
15.8785,-0.770095
15.879,-0.770136
15.8795,-0.770178
15.88,-0.770221
15.8805,-0.770265
15.881,-0.77031
15.8815,-0.770357
15.882,-0.770405
15.8825,-0.770454
15.883,-0.770504
15.8835,-0.770556
15.884,-0.770609
15.8845,-0.770663
15.885,-0.770718
15.8855,-0.770775
15.886,-0.770833
15.8865,-0.770893
15.887,-0.770954
15.8875,-0.771016
15.888,-0.77108
15.8885,-0.771145
15.889,-0.771211
15.8895,-0.771279
15.89,-0.771349
15.8905,-0.77142
15.891,-0.771492
15.8915,-0.771566
15.892,-0.771642
15.8925,-0.771719
15.893,-0.771798
15.8935,-0.771878
15.894,-0.77196
15.8945,-0.772043
15.895,-0.772128
15.8955,-0.772215
15.896,-0.772304
15.8965,-0.772394
15.897,-0.772486
15.8975,-0.772579
15.898,-0.772675
15.8985,-0.772772
15.899,-0.772871
15.8995,-0.772972
15.9,-0.773075
15.9005,-0.773179
15.901,-0.773286
15.9015,-0.773394
15.902,-0.773505
15.9025,-0.773617
15.903,-0.773732
15.9035,-0.773848
15.904,-0.773967
15.9045,-0.774087
15.905,-0.77421
15.9055,-0.774335
15.906,-0.774462
15.9065,-0.774591
15.907,-0.774722
15.9075,-0.774856
15.908,-0.774992
15.9085,-0.77513
15.909,-0.775271
15.9095,-0.775414
15.91,-0.775559
15.9105,-0.775707
15.911,-0.775857
15.9115,-0.77601
15.912,-0.776165
15.9125,-0.776323
15.913,-0.776483
15.9135,-0.776646
15.914,-0.776812
15.9145,-0.77698
15.915,-0.777151
15.9155,-0.777325
15.916,-0.777502
15.9165,-0.777681
15.917,-0.777864
15.9175,-0.778049
15.918,-0.778237
15.9185,-0.778429
15.919,-0.778623
15.9195,-0.77882
15.92,-0.779021
15.9205,-0.779225
15.921,-0.779432
15.9215,-0.779642
15.922,-0.779856
15.9225,-0.780073
15.923,-0.780293
15.9235,-0.780517
15.924,-0.780744
15.9245,-0.780975
15.925,-0.78121
15.9255,-0.781448
15.926,-0.78169
15.9265,-0.781935
15.927,-0.782185
15.9275,-0.782438
15.928,-0.782696
15.9285,-0.782957
15.929,-0.783222
15.9295,-0.783492
15.93,-0.783766
15.9305,-0.784044
15.931,-0.784326
15.9315,-0.784613
15.932,-0.784904
15.9325,-0.785199
15.933,-0.7855
15.9335,-0.785804
15.934,-0.786114
15.9345,-0.786428
15.935,-0.786747
15.9355,-0.787072
15.936,-0.787401
15.9365,-0.787735
15.937,-0.788075
15.9375,-0.788419
15.938,-0.788769
15.9385,-0.789125
15.939,-0.789486
15.9395,-0.789853
15.94,-0.790225
15.9405,-0.790603
15.941,-0.790987
15.9415,-0.791377
15.942,-0.791773
15.9425,-0.792175
15.943,-0.792584
15.9435,-0.792998
15.944,-0.79342
15.9445,-0.793848
15.945,-0.794282
15.9455,-0.794724
15.946,-0.795172
15.9465,-0.795627
15.947,-0.79609
