C:\Users\oper\labQT\Lab2025\QTLab2526\SinglePhoton\VNA\CRIO_measures_new\PC2_1_1_P5_2PORT.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-PC2_1_1_P5_2PORT
16.2,-0.615517
16.2005,-0.615445
16.201,-0.615373
16.2015,-0.615302
16.202,-0.61523
16.2025,-0.615159
16.203,-0.615088
16.2035,-0.615017
16.204,-0.614947
16.2045,-0.614876
16.205,-0.614806
16.2055,-0.614736
16.206,-0.614666
16.2065,-0.614597
16.207,-0.614527
16.2075,-0.614458
16.208,-0.614389
16.2085,-0.614321
16.209,-0.614252
16.2095,-0.614184
16.21,-0.614116
16.2105,-0.614048
16.211,-0.61398
16.2115,-0.613913
16.212,-0.613845
16.2125,-0.613778
16.213,-0.613712
16.2135,-0.613645
16.214,-0.613579
16.2145,-0.613513
16.215,-0.613447
16.2155,-0.613381
16.216,-0.613316
16.2165,-0.613251
16.217,-0.613186
16.2175,-0.613121
16.218,-0.613057
16.2185,-0.612993
16.219,-0.612929
16.2195,-0.612865
16.22,-0.612802
16.2205,-0.612739
16.221,-0.612676
16.2215,-0.612613
16.222,-0.612551
16.2225,-0.612489
16.223,-0.612427
16.2235,-0.612366
16.224,-0.612304
16.2245,-0.612243
16.225,-0.612182
16.2255,-0.612122
16.226,-0.612062
16.2265,-0.612002
16.227,-0.611942
16.2275,-0.611883
16.228,-0.611824
16.2285,-0.611765
16.229,-0.611706
16.2295,-0.611648
16.23,-0.61159
16.2305,-0.611533
16.231,-0.611475
16.2315,-0.611418
16.232,-0.611361
16.2325,-0.611305
16.233,-0.611249
16.2335,-0.611193
16.234,-0.611138
16.2345,-0.611082
16.235,-0.611027
16.2355,-0.610973
16.236,-0.610919
16.2365,-0.610865
16.237,-0.610811
16.2375,-0.610758
16.238,-0.610705
16.2385,-0.610652
16.239,-0.6106
16.2395,-0.610548
16.24,-0.610497
16.2405,-0.610446
16.241,-0.610395
16.2415,-0.610344
16.242,-0.610294
16.2425,-0.610244
16.243,-0.610195
16.2435,-0.610146
16.244,-0.610097
16.2445,-0.610049
16.245,-0.610001
16.2455,-0.609953
16.246,-0.609906
16.2465,-0.609859
16.247,-0.609813
16.2475,-0.609767
16.248,-0.609721
16.2485,-0.609676
16.249,-0.609631
16.2495,-0.609587
16.25,-0.609542
16.2505,-0.609499
16.251,-0.609456
16.2515,-0.609413
16.252,-0.60937
16.2525,-0.609328
16.253,-0.609287
16.2535,-0.609246
16.254,-0.609205
16.2545,-0.609165
16.255,-0.609125
16.2555,-0.609086
16.256,-0.609047
16.2565,-0.609009
16.257,-0.608971
16.2575,-0.608933
16.258,-0.608896
16.2585,-0.608859
16.259,-0.608823
16.2595,-0.608788
16.26,-0.608753
16.2605,-0.608718
16.261,-0.608684
16.2615,-0.60865
16.262,-0.608617
16.2625,-0.608584
16.263,-0.608552
16.2635,-0.608521
16.264,-0.60849
16.2645,-0.608459
16.265,-0.608429
16.2655,-0.6084
16.266,-0.608371
16.2665,-0.608342
16.267,-0.608314
16.2675,-0.608287
16.268,-0.60826
16.2685,-0.608234
16.269,-0.608208
16.2695,-0.608183
16.27,-0.608159
16.2705,-0.608135
16.271,-0.608112
16.2715,-0.608089
16.272,-0.608067
16.2725,-0.608046
16.273,-0.608025
16.2735,-0.608005
16.274,-0.607985
16.2745,-0.607966
16.275,-0.607948
16.2755,-0.60793
16.276,-0.607913
16.2765,-0.607897
16.277,-0.607881
16.2775,-0.607866
16.278,-0.607852
16.2785,-0.607838
16.279,-0.607825
16.2795,-0.607813
16.28,-0.607802
16.2805,-0.607791
16.281,-0.607781
16.2815,-0.607771
16.282,-0.607763
16.2825,-0.607755
16.283,-0.607748
16.2835,-0.607741
16.284,-0.607736
16.2845,-0.607731
16.285,-0.607727
16.2855,-0.607724
16.286,-0.607721
16.2865,-0.60772
16.287,-0.607719
16.2875,-0.607719
16.288,-0.60772
16.2885,-0.607721
16.289,-0.607724
16.2895,-0.607727
16.29,-0.607732
16.2905,-0.607737
16.291,-0.607743
16.2915,-0.60775
16.292,-0.607758
16.2925,-0.607766
16.293,-0.607776
16.2935,-0.607787
16.294,-0.607798
16.2945,-0.607811
16.295,-0.607824
16.2955,-0.607839
16.296,-0.607854
16.2965,-0.607871
16.297,-0.607888
16.2975,-0.607907
16.298,-0.607927
16.2985,-0.607947
16.299,-0.607969
16.2995,-0.607992
16.3,-0.608015
16.3005,-0.60804
16.301,-0.608066
16.3015,-0.608093
16.302,-0.608122
16.3025,-0.608151
16.303,-0.608182
16.3035,-0.608214
16.304,-0.608246
16.3045,-0.608281
16.305,-0.608316
16.3055,-0.608353
16.306,-0.60839
16.3065,-0.60843
16.307,-0.60847
16.3075,-0.608512
16.308,-0.608555
16.3085,-0.608599
16.309,-0.608644
16.3095,-0.608691
16.31,-0.60874
16.3105,-0.608789
16.311,-0.608841
16.3115,-0.608893
16.312,-0.608947
16.3125,-0.609002
16.313,-0.609059
16.3135,-0.609118
16.314,-0.609178
16.3145,-0.609239
16.315,-0.609302
16.3155,-0.609366
16.316,-0.609432
16.3165,-0.6095
16.317,-0.60957
16.3175,-0.60964
16.318,-0.609713
16.3185,-0.609787
16.319,-0.609863
16.3195,-0.609941
16.32,-0.610021
16.3205,-0.610102
16.321,-0.610185
16.3215,-0.61027
16.322,-0.610357
16.3225,-0.610445
16.323,-0.610536
16.3235,-0.610628
16.324,-0.610722
16.3245,-0.610819
16.325,-0.610917
16.3255,-0.611017
16.326,-0.61112
16.3265,-0.611224
16.327,-0.61133
16.3275,-0.611439
